y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R,seed,episode,step,option_entropy_norm,option_entropy_K,option_entropy_temp,option_entropy_utility,score_IG_I_R_opt
2,17,0.56,0.4068576623376622,0.1885714285801633,0.56,0.2345138701298702,-0.1712004155800481,0,0,0,0.9999692788254058,10,1.0,R_local,0.3287842238326548
2,26,0.5359999999999999,0.2676964636993553,0.1142857142983673,0.5359999999999999,0.3218428290405156,-0.1210143138103006,0,0,0,0.9999692788254058,10,1.0,R_local,0.3789703256024023
2,27,0.56,0.2686729950276761,0.1000000000128571,0.56,0.3450616039778591,-0.1049383960157123,0,0,0,0.9999692788254058,10,1.0,R_local,0.39504624339699057
3,16,0.44,0.5340424467532467,0.1542857142920816,0.44,0.0127660425974026,-0.4100911002565566,0,0,0,0.9999692788254058,10,1.0,R_local,0.08989353915614628
3,18,0.44,0.2574739310093415,0.2428571428679592,0.44,0.2340208551925267,-0.1445505733734936,0,0,0,0.9999692788254058,10,1.0,R_local,0.35543406603920924
3,20,0.488,0.2603037738853061,0.2142857142969388,0.488,0.279756980891755,-0.1131001619597755,0,0,0,0.9999692788254058,10,1.0,R_local,0.38688447745292737
3,21,0.512,0.2617300613311936,0.2000000000114286,0.512,0.3026159509350451,-0.0973840490592405,0,0,0,0.9999692788254058,10,1.0,R_local,0.4026005903534624
3,25,0.44,0.2586956784556136,0.1428571428693877,0.44,0.2330434572355091,-0.195527971329797,0,0,0,0.9999692788254058,10,1.0,R_local,0.3044566680829059
3,28,0.536,0.2658178837910866,0.1000000000128571,0.536,0.3233456929671307,-0.1266543070264407,0,0,0,0.9999692788254058,10,1.0,R_local,0.3733303323862622
4,12,0.56,0.4027373151059466,0.6228571428596734,0.56,0.2378101479152427,0.0492387193450794,0,0,0,0.9999692788254058,10,1.0,R_local,0.5492233587577823
4,13,0.4639999999999999,0.5376506484392799,0.462857142859102,0.4639999999999999,0.033879481248576,-0.2346919473218729,0,0,0,0.9999692788254058,10,1.0,R_local,0.26529269209082995
4,19,0.32,0.253479170008024,0.2428571428679592,0.32,0.1172166639935808,-0.2613547645724395,0,0,0,0.9999692788254058,10,1.0,R_local,0.23862987484026338
4,22,0.3919999999999999,0.254610709223652,0.2000000000114286,0.3919999999999999,0.1883114326210783,-0.2116885673732073,0,0,0,0.9999692788254058,10,1.0,R_local,0.2882960720394956
4,23,0.392,0.2543966284684042,0.1857142857259184,0.392,0.1884826972252766,-0.2186601599117641,0,0,0,0.9999692788254058,10,1.0,R_local,0.28132447950093875
4,24,0.368,0.2539471504953968,0.1714285714404082,0.368,0.1648422796036825,-0.2494434346761133,0,0,0,0.9999692788254058,10,1.0,R_local,0.2505412047365896
4,28,0.4640000000000001,0.2616261316835451,0.1142857142983673,0.4640000000000001,0.254699094653164,-0.1881580481976523,0,0,0,0.9999692788254058,10,1.0,R_local,0.3118265912150506
5,5,0.5359999999999999,0.2651449333333333,0.857142857144898,0.5359999999999999,0.3238840533333332,0.2524554819057822,0,0,0,0.9999692788254058,10,1.0,R_local,0.752440121318485
5,6,0.4639999999999999,0.2614589043478261,0.8428571428593878,0.4639999999999999,0.254832876521739,0.1762614479514329,0,0,0,0.9999692788254058,10,1.0,R_local,0.6762460873641358
