cell_id,row,col,center_x,center_z,covered,uncertainty
0,0,0,-23.046348278625445,-32.83299329305304,0,0.8
1,0,1,-22.046348278625445,-32.83299329305304,0,0.8
2,0,2,-21.046348278625445,-32.83299329305304,0,0.8
3,0,3,-20.046348278625445,-32.83299329305304,0,0.8
4,0,4,-19.046348278625445,-32.83299329305304,0,0.8
5,0,5,-18.046348278625445,-32.83299329305304,0,0.8
6,0,6,-17.046348278625445,-32.83299329305304,0,0.8
7,0,7,-16.046348278625445,-32.83299329305304,0,0.8
8,0,8,-15.046348278625445,-32.83299329305304,0,0.8
9,0,9,-14.046348278625445,-32.83299329305304,0,0.8
10,0,10,-13.046348278625445,-32.83299329305304,0,0.8
11,0,11,-12.046348278625445,-32.83299329305304,0,0.8
12,0,12,-11.046348278625445,-32.83299329305304,0,0.8
13,0,13,-10.046348278625445,-32.83299329305304,0,0.8
14,0,14,-9.046348278625445,-32.83299329305304,0,0.8
15,0,15,-8.046348278625445,-32.83299329305304,0,0.8
16,0,16,-7.0463482786254446,-32.83299329305304,0,0.8
17,0,17,-6.0463482786254446,-32.83299329305304,0,0.8
18,0,18,-5.0463482786254446,-32.83299329305304,0,0.8
19,0,19,-4.0463482786254446,-32.83299329305304,0,0.8
20,0,20,-3.046348278625445,-32.83299329305304,0,0.8
21,0,21,-2.046348278625445,-32.83299329305304,0,0.8
22,0,22,-1.0463482786254446,-32.83299329305304,0,0.8
23,0,23,-0.0463482786254445,-32.83299329305304,0,0.8
24,0,24,0.9536517213745554,-32.83299329305304,0,0.8
25,0,25,1.9536517213745557,-32.83299329305304,0,0.8
26,0,26,2.9536517213745554,-32.83299329305304,0,0.8
27,0,27,3.953651721374555,-32.83299329305304,0,0.8
28,0,28,4.9536517213745554,-32.83299329305304,0,0.8
29,0,29,5.9536517213745554,-32.83299329305304,0,0.8
30,0,30,6.9536517213745554,-32.83299329305304,0,0.8
31,1,0,-23.046348278625445,-31.832993293053043,0,0.8
32,1,1,-22.046348278625445,-31.832993293053043,0,0.8
33,1,2,-21.046348278625445,-31.832993293053043,0,0.8
34,1,3,-20.046348278625445,-31.832993293053043,0,0.8
35,1,4,-19.046348278625445,-31.832993293053043,0,0.8
36,1,5,-18.046348278625445,-31.832993293053043,0,0.8
37,1,6,-17.046348278625445,-31.832993293053043,0,0.8
38,1,7,-16.046348278625445,-31.832993293053043,0,0.8
39,1,8,-15.046348278625445,-31.832993293053043,0,0.8
40,1,9,-14.046348278625445,-31.832993293053043,0,0.8
41,1,10,-13.046348278625445,-31.832993293053043,0,0.8
42,1,11,-12.046348278625445,-31.832993293053043,0,0.8
43,1,12,-11.046348278625445,-31.832993293053043,0,0.8
44,1,13,-10.046348278625445,-31.832993293053043,0,0.8
45,1,14,-9.046348278625445,-31.832993293053043,0,0.8
46,1,15,-8.046348278625445,-31.832993293053043,0,0.8
47,1,16,-7.0463482786254446,-31.832993293053043,0,0.8
48,1,17,-6.0463482786254446,-31.832993293053043,0,0.8
49,1,18,-5.0463482786254446,-31.832993293053043,0,0.8
50,1,19,-4.0463482786254446,-31.832993293053043,0,0.8
51,1,20,-3.046348278625445,-31.832993293053043,0,0.8
52,1,21,-2.046348278625445,-31.832993293053043,0,0.8
53,1,22,-1.0463482786254446,-31.832993293053043,0,0.8
54,1,23,-0.0463482786254445,-31.832993293053043,0,0.8
55,1,24,0.9536517213745554,-31.832993293053043,0,0.8
56,1,25,1.9536517213745557,-31.832993293053043,0,0.8
57,1,26,2.9536517213745554,-31.832993293053043,0,0.8
58,1,27,3.953651721374555,-31.832993293053043,0,0.8
59,1,28,4.9536517213745554,-31.832993293053043,0,0.8
60,1,29,5.9536517213745554,-31.832993293053043,0,0.8
61,1,30,6.9536517213745554,-31.832993293053043,0,0.8
62,2,0,-23.046348278625445,-30.832993293053043,0,0.8
63,2,1,-22.046348278625445,-30.832993293053043,0,0.8
64,2,2,-21.046348278625445,-30.832993293053043,0,0.8
65,2,3,-20.046348278625445,-30.832993293053043,0,0.8
66,2,4,-19.046348278625445,-30.832993293053043,0,0.8
67,2,5,-18.046348278625445,-30.832993293053043,0,0.8
68,2,6,-17.046348278625445,-30.832993293053043,0,0.8
69,2,7,-16.046348278625445,-30.832993293053043,0,0.8
70,2,8,-15.046348278625445,-30.832993293053043,0,0.8
71,2,9,-14.046348278625445,-30.832993293053043,0,0.8
72,2,10,-13.046348278625445,-30.832993293053043,0,0.8
73,2,11,-12.046348278625445,-30.832993293053043,0,0.8
74,2,12,-11.046348278625445,-30.832993293053043,0,0.8
75,2,13,-10.046348278625445,-30.832993293053043,0,0.8
76,2,14,-9.046348278625445,-30.832993293053043,0,0.8
77,2,15,-8.046348278625445,-30.832993293053043,0,0.8
78,2,16,-7.0463482786254446,-30.832993293053043,0,0.8
79,2,17,-6.0463482786254446,-30.832993293053043,1,0.2
80,2,18,-5.0463482786254446,-30.832993293053043,0,0.8
81,2,19,-4.0463482786254446,-30.832993293053043,0,0.8
82,2,20,-3.046348278625445,-30.832993293053043,0,0.8
83,2,21,-2.046348278625445,-30.832993293053043,0,0.8
84,2,22,-1.0463482786254446,-30.832993293053043,0,0.8
85,2,23,-0.0463482786254445,-30.832993293053043,0,0.8
86,2,24,0.9536517213745554,-30.832993293053043,0,0.8
87,2,25,1.9536517213745557,-30.832993293053043,0,0.8
88,2,26,2.9536517213745554,-30.832993293053043,1,0.2
89,2,27,3.953651721374555,-30.832993293053043,1,0.2
90,2,28,4.9536517213745554,-30.832993293053043,0,0.8
91,2,29,5.9536517213745554,-30.832993293053043,0,0.8
92,2,30,6.9536517213745554,-30.832993293053043,0,0.8
93,3,0,-23.046348278625445,-29.832993293053043,0,0.8
94,3,1,-22.046348278625445,-29.832993293053043,0,0.8
95,3,2,-21.046348278625445,-29.832993293053043,0,0.8
96,3,3,-20.046348278625445,-29.832993293053043,0,0.8
97,3,4,-19.046348278625445,-29.832993293053043,0,0.8
98,3,5,-18.046348278625445,-29.832993293053043,0,0.8
99,3,6,-17.046348278625445,-29.832993293053043,0,0.8
100,3,7,-16.046348278625445,-29.832993293053043,0,0.8
101,3,8,-15.046348278625445,-29.832993293053043,0,0.8
102,3,9,-14.046348278625445,-29.832993293053043,0,0.8
103,3,10,-13.046348278625445,-29.832993293053043,0,0.8
104,3,11,-12.046348278625445,-29.832993293053043,0,0.8
105,3,12,-11.046348278625445,-29.832993293053043,0,0.8
106,3,13,-10.046348278625445,-29.832993293053043,0,0.8
107,3,14,-9.046348278625445,-29.832993293053043,0,0.8
108,3,15,-8.046348278625445,-29.832993293053043,1,0.2
109,3,16,-7.0463482786254446,-29.832993293053043,1,0.2
110,3,17,-6.0463482786254446,-29.832993293053043,1,0.2
111,3,18,-5.0463482786254446,-29.832993293053043,1,0.2
112,3,19,-4.0463482786254446,-29.832993293053043,0,0.8
113,3,20,-3.046348278625445,-29.832993293053043,1,0.2
