seed,delta,gamma,status,safe_mode_activations,disconnect_steps,replans,path_len
0,0.0,0.0,ok,1,22,1,21
0,0.0,0.5,ok,1,12,1,5
0,0.0,1.0,ok,1,11,1,5
0,0.0,2.0,ok,1,11,1,5
0,0.0,4.0,ok,1,10,1,5
0,0.5,0.0,ok,1,22,1,21
0,0.5,0.5,ok,1,12,1,5
0,0.5,1.0,ok,1,11,1,5
0,0.5,2.0,ok,1,11,1,5
0,0.5,4.0,ok,1,11,1,5
0,1.0,0.0,ok,1,22,1,21
0,1.0,0.5,ok,1,12,1,5
0,1.0,1.0,ok,1,11,1,5
0,1.0,2.0,ok,1,11,1,5
0,1.0,4.0,ok,1,11,1,5
0,2.0,0.0,ok,1,22,1,21
0,2.0,0.5,ok,1,12,1,5
0,2.0,1.0,ok,1,12,1,5
0,2.0,2.0,ok,1,11,1,5
0,2.0,4.0,ok,1,11,1,5
1,0.0,0.0,ok,1,15,1,4
1,0.0,0.5,ok,1,10,1,4
1,0.0,1.0,ok,1,9,1,4
1,0.0,2.0,ok,1,9,1,4
1,0.0,4.0,ok,1,9,1,4
1,0.5,0.0,ok,1,15,1,4
1,0.5,0.5,ok,1,13,1,4
1,0.5,1.0,ok,1,10,1,4
1,0.5,2.0,ok,1,9,1,4
1,0.5,4.0,ok,1,9,1,4
1,1.0,0.0,ok,1,15,1,4
1,1.0,0.5,ok,1,15,1,4
1,1.0,1.0,ok,1,10,1,4
1,1.0,2.0,ok,1,9,1,4
1,1.0,4.0,ok,1,9,1,4
1,2.0,0.0,ok,1,15,1,4
1,2.0,0.5,ok,1,15,1,4
1,2.0,1.0,ok,1,10,1,4
1,2.0,2.0,ok,1,9,1,4
1,2.0,4.0,ok,1,9,1,4
2,0.0,0.0,ok,1,19,1,21
2,0.0,0.5,ok,1,17,1,20
2,0.0,1.0,ok,1,7,1,3
2,0.0,2.0,ok,0,6,0,54
2,0.0,4.0,ok,0,6,0,54
2,0.5,0.0,ok,1,19,1,21
2,0.5,0.5,ok,1,17,1,20
2,0.5,1.0,ok,1,7,1,3
2,0.5,2.0,ok,0,6,0,54
2,0.5,4.0,ok,0,6,0,54
2,1.0,0.0,ok,1,19,1,21
2,1.0,0.5,ok,1,18,1,21
2,1.0,1.0,ok,1,7,1,3
2,1.0,2.0,ok,0,6,0,54
2,1.0,4.0,ok,0,6,0,54
2,2.0,0.0,ok,1,19,1,21
2,2.0,0.5,ok,1,18,1,21
2,2.0,1.0,ok,1,17,1,20
2,2.0,2.0,ok,1,7,1,3
2,2.0,4.0,ok,0,6,0,54
3,0.0,0.0,ok,1,20,1,8
3,0.0,0.5,ok,1,12,1,8
3,0.0,1.0,ok,1,8,1,0
3,0.0,2.0,ok,1,8,1,1
3,0.0,4.0,ok,1,8,1,1
3,0.5,0.0,ok,1,21,1,26
3,0.5,0.5,ok,1,11,1,8
3,0.5,1.0,ok,1,12,1,8
3,0.5,2.0,ok,1,8,1,1
3,0.5,4.0,ok,1,8,1,1
3,1.0,0.0,ok,1,21,1,26
3,1.0,0.5,ok,1,11,1,8
3,1.0,1.0,ok,1,12,1,8
3,1.0,2.0,ok,1,8,1,1
3,1.0,4.0,ok,1,8,1,1
3,2.0,0.0,ok,1,21,1,26
3,2.0,0.5,ok,1,11,1,8
3,2.0,1.0,ok,1,12,1,8
3,2.0,2.0,ok,1,8,1,0
3,2.0,4.0,ok,1,8,1,1
4,0.0,0.0,ok,1,21,1,7
4,0.0,0.5,ok,1,12,1,7
4,0.0,1.0,ok,1,12,1,7
4,0.0,2.0,ok,1,12,1,7
4,0.0,4.0,ok,1,12,1,7
4,0.5,0.0,ok,1,21,1,7
4,0.5,0.5,ok,1,12,1,7
4,0.5,1.0,ok,1,12,1,7
4,0.5,2.0,ok,1,12,1,7
4,0.5,4.0,ok,1,12,1,7
4,1.0,0.0,ok,1,21,1,7
4,1.0,0.5,ok,1,13,1,7
4,1.0,1.0,ok,1,12,1,7
4,1.0,2.0,ok,1,12,1,7
4,1.0,4.0,ok,1,12,1,7
4,2.0,0.0,ok,1,21,1,7
4,2.0,0.5,ok,1,17,1,7
4,2.0,1.0,ok,1,12,1,7
4,2.0,2.0,ok,1,12,1,7
4,2.0,4.0,ok,1,12,1,7
5,0.0,0.0,ok,1,12,1,9
5,0.0,0.5,ok,0,6,0,54
5,0.0,1.0,ok,0,5,0,54
5,0.0,2.0,ok,0,5,0,54
5,0.0,4.0,ok,0,5,0,54
5,0.5,0.0,ok,1,12,1,9
5,0.5,0.5,ok,1,11,1,8
5,0.5,1.0,ok,0,5,0,54
5,0.5,2.0,ok,0,5,0,54
