t,attack,d2,thr,ratio,scale,flagged,streak,triggered,alert
0,0,1.241781,11.369058,0.109225,1.000000,0,0,0,0
1,0,1.285974,11.369058,0.113112,1.000000,0,0,0,0
2,0,2.307891,11.369058,0.202998,1.000000,0,0,0,0
3,0,0.136935,11.369058,0.012045,1.000000,0,0,0,0
4,0,0.342968,11.369058,0.030167,1.000000,0,0,0,0
5,0,11.267663,11.369058,0.991082,1.000000,0,0,0,0
6,0,4.928674,11.369058,0.433516,1.000000,0,0,0,0
7,0,2.860478,11.369058,0.251602,1.000000,0,0,0,0
8,0,6.342675,11.369058,0.557889,1.000000,0,0,0,0
9,0,2.306440,11.369058,0.202870,1.000000,0,0,0,0
10,0,6.636570,11.369058,0.583740,1.000000,0,0,0,0
11,0,2.350704,11.369058,0.206763,1.000000,0,0,0,0
12,0,3.901316,11.369058,0.343152,1.000000,0,0,0,0
13,0,1.008185,11.369058,0.088678,1.000000,0,0,0,0
14,0,0.818528,11.369058,0.071996,1.000000,0,0,0,0
15,0,0.824211,11.369058,0.072496,1.000000,0,0,0,0
16,0,1.386385,11.369058,0.121944,1.000000,0,0,0,0
17,0,1.770433,11.369058,0.155724,1.000000,0,0,0,0
18,0,2.625300,11.369058,0.230916,1.000000,0,0,0,0
19,0,0.690362,11.369058,0.060723,1.000000,0,0,0,0
20,0,2.755696,11.369058,0.242386,1.000000,0,0,0,0
21,0,8.450583,11.369058,0.743297,1.000000,0,0,0,0
22,0,1.911292,11.369058,0.168114,1.000000,0,0,0,0
23,0,0.745107,11.369058,0.065538,1.000000,0,0,0,0
24,0,1.981891,11.369058,0.174323,1.000000,0,0,0,0
25,0,8.214730,11.369058,0.722552,1.000000,0,0,0,0
26,0,4.342559,11.369058,0.381963,1.000000,0,0,0,0
27,0,7.346870,11.369058,0.646216,1.000000,0,0,0,0
28,0,2.825666,11.369058,0.248540,1.000000,0,0,0,0
29,0,1.462853,11.369058,0.128670,1.000000,0,0,0,0
30,0,2.688931,11.369058,0.236513,1.000000,0,0,0,0
31,0,1.790373,11.369058,0.157478,1.000000,0,0,0,0
32,0,1.850602,11.369058,0.162775,1.000000,0,0,0,0
33,0,1.639990,11.369058,0.144250,1.000000,0,0,0,0
34,0,0.464380,11.369058,0.040846,1.000000,0,0,0,0
35,0,2.339388,11.369058,0.205768,1.000000,0,0,0,0
36,0,6.671221,11.369058,0.586788,1.000000,0,0,0,0
37,0,2.755745,11.369058,0.242390,1.000000,0,0,0,0
38,0,1.735060,11.369058,0.152612,1.000000,0,0,0,0
39,0,3.900884,11.369058,0.343114,1.000000,0,0,0,0
40,0,4.634524,11.369058,0.407644,1.000000,0,0,0,0
41,0,2.646078,11.369058,0.232744,1.000000,0,0,0,0
42,0,2.843797,11.369058,0.250135,1.000000,0,0,0,0
43,0,2.199278,11.369058,0.193444,1.000000,0,0,0,0
44,0,1.557560,11.369058,0.137000,1.000000,0,0,0,0
45,0,2.178897,11.369058,0.191652,1.000000,0,0,0,0
46,0,2.622934,11.369058,0.230708,1.000000,0,0,0,0
47,0,4.227477,11.369058,0.371841,1.000000,0,0,0,0
48,0,1.743587,11.369058,0.153363,1.000000,0,0,0,0
49,0,6.493037,11.369058,0.571115,1.000000,0,0,0,0
50,0,0.768294,11.369058,0.067578,1.000000,0,0,0,0
51,0,2.498282,11.369058,0.219744,1.000000,0,0,0,0
52,0,0.555860,11.369058,0.048892,1.000000,0,0,0,0
53,0,1.668244,11.369058,0.146735,1.000000,0,0,0,0
54,0,4.816888,11.369058,0.423684,1.000000,0,0,0,0
55,0,1.548985,11.369058,0.136246,1.000000,0,0,0,0
56,0,2.198466,11.369058,0.193373,1.000000,0,0,0,0
57,0,2.373259,11.369058,0.208747,1.000000,0,0,0,0
58,0,1.364471,11.369058,0.120016,1.000000,0,0,0,0
59,0,6.259492,11.369058,0.550573,1.000000,0,0,0,0
60,0,0.350978,11.369058,0.030871,1.000000,0,0,0,0
61,0,2.631930,11.369058,0.231499,1.000000,0,0,0,0
62,0,1.164125,11.369058,0.102394,1.000000,0,0,0,0
63,0,0.468590,11.369058,0.041216,1.000000,0,0,0,0
64,0,3.792072,11.369058,0.333543,1.000000,0,0,0,0
65,0,1.240935,11.369058,0.109150,1.000000,0,0,0,0
66,0,3.009708,11.369058,0.264728,1.000000,0,0,0,0
67,0,0.551174,11.369058,0.048480,1.000000,0,0,0,0
68,0,6.210406,11.369058,0.546255,1.000000,0,0,0,0
69,0,2.934246,11.369058,0.258090,1.000000,0,0,0,0
70,0,1.867470,11.369058,0.164259,1.000000,0,0,0,0
