tau,success,cost,path_len,expansions,max_I_on_path,mean_I_on_path,I_start,I_goal,reason
0.3,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.35,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.4,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.45,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.5,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.55,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.6,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.65,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.7,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.75,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.8,0,inf,0,0,,,0.85,0.85,start violates irreversibility threshold
0.85,1,60.0,61,925,0.85,0.6549180327868853,0.85,0.85,ok
0.9,1,60.0,61,925,0.85,0.6549180327868853,0.85,0.85,ok
0.95,1,60.0,61,925,0.85,0.6549180327868853,0.85,0.85,ok
1.0,1,60.0,61,925,0.85,0.6549180327868853,0.85,0.85,ok
